Cluster,Phase,Day of Date Trap,Cluster.code,ASBs Deployed,Form.Collectionid Check,Form.Sampleid Check,form.DyeFed,form.BloodFed,form.SugarFed,Indoor,Outdoor,Male,Female,An. gambiae,An. funestus
asb163,1,6-Mar-21,163,2,5113426,5150056,1,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113426,5150063,0,0,---,0,1,0,1,1,
asb143,1,7-Mar-21,143,2,5097941,5158238,0,0,---,0,1,0,1,1,
asb143,1,7-Mar-21,143,2,5097941,5158241,0,0,---,0,1,0,1,1,
asb143,1,7-Mar-21,143,2,5097941,5158244,0,0,---,0,1,0,1,1,
asb13,1,8-Mar-21,13,2,5096827,5159739,0,0,---,0,1,0,1,1,
asb13,1,8-Mar-21,13,2,5096831,5158534,0,0,---,0,1,0,1,1,
asb13,1,8-Mar-21,13,2,5097010,5159601,0,0,---,0,1,0,1,1,
asb13,1,8-Mar-21,13,2,5097016,5159812,0,,---,0,1,0,1,1,
asb33,1,8-Mar-21,33,3,5095709,5157017,0,0,---,0,1,0,1,1,
asb33,1,8-Mar-21,33,3,5095805,5157055,0,0,---,0,1,0,1,1,
asb33,1,8-Mar-21,33,3,5113773,5157006,0,0,---,0,1,0,1,1,
asb45,1,8-Mar-21,45,2,5077510,5159213,0,0,---,0,1,0,1,1,
asb77,1,8-Mar-21,77,2,5095019,5159447,0,0,---,0,1,0,1,1,
asb77,1,8-Mar-21,77,2,5095019,5159487,0,0,---,0,1,0,1,1,
asb77,1,8-Mar-21,77,2,5095020,5159449,0,0,---,0,1,0,1,1,
asb77,1,8-Mar-21,77,2,5095020,5159479,0,0,---,0,1,0,1,1,
asb77,1,8-Mar-21,77,2,5095158,5159475,0,0,---,0,1,0,1,1,
asb77,1,8-Mar-21,77,2,5097607,5159476,0,0,---,0,1,0,1,1,
asb84,1,8-Mar-21,84,3,5096067,5159381,0,0,---,0,1,0,1,1,
asb84,1,8-Mar-21,84,3,5096561,5159115,0,0,---,0,1,0,1,1,
asb84,1,8-Mar-21,84,3,5107422,5149576,0,0,---,0,1,0,1,1,
asb84,1,8-Mar-21,84,3,5107422,5159108,0,0,---,0,1,0,1,1,
asb84,1,8-Mar-21,84,3,5107422,5159112,0,0,---,0,1,0,1,1,
asb84,1,8-Mar-21,84,3,5107422,5159117,0,0,---,0,1,0,1,1,
asb84,1,8-Mar-21,84,3,5107423,5156634,0,0,---,0,1,0,1,1,
asb143,1,8-Mar-21,143,2,5097858,5158234,0,0,---,0,1,0,1,1,
asb143,1,8-Mar-21,143,2,5097939,5158303,0,0,---,0,1,0,1,1,
asb143,1,8-Mar-21,143,2,5098355,5158321,0,0,---,0,1,0,1,1,
asb163,1,8-Mar-21,163,2,5076420,5157144,0,0,---,0,1,0,1,1,
asb163,1,8-Mar-21,163,2,5076420,5157146,0,0,---,0,1,0,1,1,
