Study Sites,Month,Year,Date,Species,Method,Room#/Poste ,# sleeper,Position,NightFrames,NightFrames_2,mosquito ID,Parity,fed/unfed,ELISA,Species
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,80,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,81,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,82,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,83,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,84,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,85,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,86,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,87,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,88,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,89,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,90,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,91,NR,Fed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,00h-02h,,92,NR,Fed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,93,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,94,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,95,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,96,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,97,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,02h-04h,,98,P,Unfed,ND,ND
