year,Month,Date,Vilage,Location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,PSC suplementary catch male,PSC suplementary catch female,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample Anthrone females,Sample Anthrone males,Anthrone positive females,Anthrone positive males,Sample ELISA,ELISA positive,,Remarcs
2016,10,,Tiko,inside,Con.,NO,PSC,2,11,9,20,5,6,11,1,33,5,,,,1,8,4,15,2,4,8,0,18,3,,,,,,103,63,,,,,,,,,,,,,
2016,10,,Kignele,inside,Con.,NO,PSC,20,12,17,52,9,3,2,8,5,29,,,,16,7,13,27,4,1,0,3,8,21,,,,,,157,100,,,,,,,,,,,,,
2016,10,,Trekrouba,inside,Con.,NO,PSC,5,32,26,4,3,12,30,11,2,17,,,,2,15,8,3,9,6,19,5,1,6,,,,,,142,74,,,,,,,,,,,,,
2016,10,,Balandougou,inside,Con.,NO,PSC,2,5,6,3,21,16,9,3,8,4,,,,1,3,4,1,14,7,4,2,3,0,,,,,,77,39,,,,,,,,,,,,,
2016,10,,Krekrelo,inside,Con.,NO,PSC,2,0,2,15,3,16,1,14,9,2,,,,0,1,1,4,7,10,0,5,3,1,,,,,,64,32,,,,,,,,,,,,,
2016,10,,Korea,inside,Con.,NO,PSC,2,11,1,18,2,0,0,10,6,9,,,,5,3,0,6,1,0,1,4,2,8,,,,,,59,30,,,,,,,,,,,,,
2016,10,,Farabale,inside,Con.,NO,PSC,19,8,2,6,38,1,4,3,0,2,,,,11,3,1,2,14,0,2,1,1,0,,,,,,83,35,,,,,,,,,,,,,
2016,10,,Cissebougou,inside,Con.,NO,PSC,2,0,10,5,0,2,1,4,0,1,,,,1,0,2,1,0,0,1,1,1,0,,,,,,25,7,,,,,,,,,,,,,
2016,10,,Trekrou,inside,Con.,NO,PSC,17,26,15,8,5,2,30,14,9,25,,,,5,11,4,2,8,0,13,4,2,9,,,,,,151,58,,,,,,,,,,,,,
2016,10,,Sirakele,inside,Con.,NO,PSC,12,3,0,5,16,2,12,7,11,3,,,,6,1,0,7,5,0,3,5,9,0,,,,,,71,36,,,,,,,,,,,,,
2016,10,,Balala,inside,Con.,NO,PSC,2,5,21,9,0,8,3,1,5,42,,,,0,3,8,2,2,1,5,0,2,2,,,,,,96,25,,,,,,,,,,,,,
2016,10,,Sambadani,inside,Con.,NO,PSC,14,11,4,18,23,9,20,12,3,31,,,,5,2,1,7,10,2,6,3,0,11,,,,,,145,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,636,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,,Madina,inside,Con.,NO,PSC,2,1,8,0,10,1,0,2,1,17,,,,1,0,1,0,2,0,0,1,0,4,,,,,,42,9,,,,,,,,,,,,,
2016,11,,Nianguanabougou,inside,Con.,NO,PSC,0,1,2,5,0,3,0,11,6,25,,,,1,2,0,1,0,1,0,2,1,7,,,,,,53,15,,,,,,,,,,,,,
2016,11,,Tiko,inside,Con.,NO,PSC,0,6,2,14,3,1,8,0,17,9,,,,0,1,0,1,0,0,2,0,3,1,,,,,,60,8,,,,,,,,,,,,,
2016,11,,Kignele,inside,Con.,NO,PSC,23,19,11,24,5,8,5,4,2,25,,,,5,7,3,8,1,2,0,1,0,5,,,,,,126,32,,,,,,,,,,,,,
2016,11,,Trekrouba,inside,Con.,NO,PSC,7,16,9,2,0,9,28,7,4,15,,,,2,3,2,1,0,3,5,0,1,3,,,,,,97,20,,,,,,,,,,,,,
